oid,Item Description,unit_of_measure,lo,lead_time,burn_rate,Stock Units Analytical
657793,Retractor Wound Alexis O Medium 5-9cm,Each,Level 2 Surgery/Procedures/PACU,1.0,0.06,3.0
657794,Retractor Wound Alexis O Large 9-14cm,Each,Level 2 Surgery/Procedures/PACU,2.0,0.02,2.0
657797,Port MRI Plastic PowerPort Intermediate W/ Attached 8FR Cath,Each,Level 1 Imaging,14.5,0.0,2.0
658451,Plate LCP Stainless Steel 7 Hole 2.4 x 60mm,Each,Level 2 Surgery/Procedures/PACU,3.0,0.0,1.0
658452,Plate LCP 8 Hole 2.4 x 68mm,Each,Level 2 Surgery/Procedures/PACU,3.0,0.0,1.0
658455,Plate LCP Adaption 12 Hole 2.7 x 97mm,Each,Level 2 Surgery/Procedures/PACU,3.0,0.0,1.0
658552,Screw Cortex Stardrive Recess Self-Tap 2.0x12mm,Each,Level 2 Surgery/Procedures/PACU,2.5,0.02,2.0
658554,Screw Cortex Stardrive Recess Self-Tap 2.0x14mm,Each,Level 2 Surgery/Procedures/PACU,1.0,0.02,2.0
658555,Screw Cortex Stardrive Recess Self-Tap 2.0x16mm,Each,Level 2 Surgery/Procedures/PACU,2.5,0.02,2.0
658556,Screw Cortex Stardrive Recess Self-Tap 2.0x18mm,Each,Level 2 Surgery/Procedures/PACU,1.5,0.02,2.0
658559,Screw Cortex Stardrive Recess Self-Tap 2.0x24mm,Each,Level 2 Surgery/Procedures/PACU,1.5,0.02,1.0
658568,Screw Cortex Stardrive Recess Self-Tap 2.0x6mm,Each,Level 2 Surgery/Procedures/PACU,1.5,0.02,2.0
658569,Screw Cortex Stardrive Recess Self-Tap 2.0x7mm,Each,Level 2 Surgery/Procedures/PACU,1.5,0.02,2.0
658570,Screw Cortex Stardrive Recess Self-Tap 2.0x8mm,Each,Level 2 Surgery/Procedures/PACU,1.5,0.02,2.0
658574,Screw Cortex T8 Stardrive Recess Self-Tap 2.4x7mm,Each,Level 2 Surgery/Procedures/PACU,1.5,0.02,1.0
658576,Screw Cortex T8 Stardrive Recess Self-Tap 2.7x22mm,Each,Level 2 Surgery/Procedures/PACU,4.0,0.0,1.0
658580,Screw Cortex T8 Stardrive Recess Self-Tap 2.7x38mm,Each,Level 2 Surgery/Procedures/PACU,3.0,0.0,1.0
658581,Screw Cortex T8 Stardrive Recess Self-Tap 2.7x40mm,Each,Level 2 Surgery/Procedures/PACU,4.0,0.0,1.0
658586,Screw Cortex T8 Stardrive Recess Self-Tap 2.7x50mm,Each,Level 2 Surgery/Procedures/PACU,2.0,0.0,1.0
658795,T-Plate LCP 2 Hole Hd/7 Hole Sft 2.0mm,Each,Level 2 Surgery/Procedures/PACU,3.0,0.0,1.0
658797,T-Plate LCP 3 Hole Hd/7 Hole Sft 2.0mm,Each,Level 2 Surgery/Procedures/PACU,2.5,0.0,1.0
659041,Reload Gold For Powered Stapler 60mm,Each,Level 2 Surgery/Procedures/PACU,0.5,0.06,5.0
659094,Pin Disposable Fluted Headless Sterile 3.2 x 89mm,Each,Level 2 Surgery/Procedures/PACU,1.0,0.04,2.0
659094,Pin Disposable Fluted Headless Sterile 3.2 x 89mm,Each,Level 2 Surgery/Procedures/PACU,1.0,0.02,1.0
659486,Head Femur Ceramic Biolox Delta 12/14 36mm + 8.5,Each,Level 2 Surgery/Procedures/PACU,1.0,0.0,1.0
659679,Screw Solera 4.75 Multi-Axial Ti 8.5x55mm,Each,Level 2 Surgery/Procedures/PACU,8.0,0.0,2.0
659684,Screw Solera 4.75 Multi-Axial Ti 9.5x60mm,Each,Level 2 Surgery/Procedures/PACU,8.0,0.0,2.0
659907,Screw Cortical Locking 2.3 x 14mm,Each,Level 2 Surgery/Procedures/PACU,1.0,0.0,1.0
659907,Screw Cortical Locking 2.3 x 14mm,Each,Level 2 Surgery/Procedures/PACU,1.0,0.02,1.0
659926,Screw Cortical Locking 2.3 x 16mm,Each,Level 2 Surgery/Procedures/PACU,1.0,0.04,3.0
659926,Screw Cortical Locking 2.3 x 16mm,Each,Level 2 Surgery/Procedures/PACU,1.0,0.02,1.0
659931,Screw Cortical Locking 2.3 x 20mm,Each,Level 2 Surgery/Procedures/PACU,0.5,0.04,2.0
659949,Plate Distal Clavicle 16 Hole Left,Each,Level 2 Surgery/Procedures/PACU,1.0,0.0,1.0
660217,Electrode Loop Resection Med 30deg 24Fr,Each,Level 2 Surgery/Procedures/PACU,3.0,0.06,6.0
660379,Valve Peep AirLife Adjustable Blue Cap Disposable 0-20 38mm,Each,Respiratory Therapy,0.5,0.22,5.0
662609,Screw Cortical Locking 2.3 X 18mm,Each,Level 2 Surgery/Procedures/PACU,0.5,0.06,3.0
662609,Screw Cortical Locking 2.3 X 18mm,Each,Level 2 Surgery/Procedures/PACU,0.5,0.04,2.0
663430,Cont Tra Waste Can Stp-On Wht 13gal Plas L18inxH28.3in,Each,Level 2 Surgery/Procedures/PACU,33.0,0.0,4.0
663441,Vest Wrap Disposable Small,Each,Respiratory Therapy,8.0,0.02,3.0
663442,Vest Wrap Disposable Medium,Each,Respiratory Therapy,8.0,0.08,8.0
663443,Vest Wrap Disposable Large,Each,Respiratory Therapy,5.5,0.08,6.0
663444,Vest Wrap Disposable X-Large,Each,Respiratory Therapy,13.0,0.02,4.0
663468,Pad Stripper Floor 7200 Nyl/Poly Round Black 20in,Each,Level 1 EVS_1321,1.5,0.02,5.0
663469,Pad Buffer 5100 Floor Red 20 Inch,Each,Level 1 EVS_1321,5.0,0.18,19.0
663516,Sealer Bipolar Aquamantys 2.3,Each,Level 2 Surgery/Procedures/PACU,4.0,0.84,31.0
663683,Tracker Patient Fusion ENT Navigation,Each,Level 2 Surgery/Procedures/PACU,21.5,0.0,2.0
663684,Tracker Instrument Fusion ENT Navigation,Each,Level 2 Surgery/Procedures/PACU,4.5,0.0,1.0
663689,Drill Bit RemB Precision Neuro 3x3.8mm,Each,Level 2 Surgery/Procedures/PACU,6.5,0.12,16.0
663689,Drill Bit RemB Precision Neuro 3x3.8mm,Each,Level 2 Surgery/Procedures/PACU,6.5,0.12,5.0
663694,Blade Bone Mill 5mm,Each,Level 2 Surgery/Procedures/PACU,19.5,0.04,13.0
663705,Blade 18.0 x 5.5mm,Each,Level 2 Surgery/Procedures/PACU,4.5,0.02,4.0
663756,Needle Stimuquik Echo 21 Ga x 90mm,Each,Level 2 Surgery/Procedures/PACU,5.0,0.14,38.0
663779,Mesh Bilayer Wound Matrix 4 x 5in,Each,Level 2 Surgery/Procedures/PACU,1.0,0.0,1.0
663950,Kit Brigade Anterior Lumbar Stand-Alone 1-Level,Each,Level 2 Surgery/Procedures/PACU,1.0,0.02,2.0
663950,Kit Brigade Anterior Lumbar Stand-Alone 1-Level,Each,Level 2 Surgery/Procedures/PACU,1.0,0.02,1.0
664551,Hose Air Model 205 Airway Clearance Clear Disp,Each,Respiratory Therapy,9.5,0.38,37.0
664555,Antibody Albacyte Identification Panel A 10 x 5ml,Each,Level 3 Central Lab,9.0,0.04,3.0
664561,Pad Hi-Pro 7300 Nylon Round Blk 50048011082788 20in,Each,Level 1 EVS_1321,1.5,0.02,6.0
664564,Pad Clea 5300 Nylon/Poly Round Blue 50048011084133 20in,Each,Level 1 EVS_1321,1.0,0.1,6.0
664590,Pack Print Color Media Letter  Slf Lamin 100 Prints/Pack.,Each,Level 2 Surgery/Procedures/PACU,6.5,0.18,18.0
664593,Cannula Nasal Confort Flo Humidification Infant,Each,Level 1 ED,1.5,0.06,7.0
664681,Filter Vena Cava Celect Platinum Jugular 7.0,Each,Level 1 Imaging,2.0,0.0,1.0
664701,Nutritional Boost Glucose Control Vanilla Tetra Brik 24x8oz,Each,Level 3 Food Service,29.0,2.38,335.0
664701,Nutritional Boost Glucose Control Vanilla Tetra Brik 24x8oz,Each,Level 3 Food Service,1.0,2.38,78.0
664701,Nutritional Boost Glucose Control Vanilla Tetra Brik 24x8oz,Each,Level 3 Food Service,1.0,2.64,29.0
664702,Nutritional Boost Glucose Control Choc Tetra Brik 24x8oz,Each,Level 3 Food Service,48.5,1.46,373.0
664702,Nutritional Boost Glucose Control Choc Tetra Brik 24x8oz,Each,Level 3 Food Service,48.5,1.46,253.0
664702,Nutritional Boost Glucose Control Choc Tetra Brik 24x8oz,Each,Level 3 Food Service,1.0,1.46,46.0
664703,Nutritional Fibersource HN Spikeright Plus Ultrapak 6x10oz,Each,Level 3 Food Service,4.0,2.74,81.0
664703,Nutritional Fibersource HN Spikeright Plus Ultrapak 6x10oz,Each,Level 3 Food Service,1.5,2.74,61.0
664703,Nutritional Fibersource HN Spikeright Plus Ultrapak 6x10oz,Each,Level 3 Food Service,4.0,0.14,55.0
664703,Nutritional Fibersource HN Spikeright Plus Ultrapak 6x10oz,Each,Level 3 Food Service,1.5,0.14,42.0
664735,Container Waste RCRA SharpSafety Hazard Black White Lid 8gal,Each,Level 1 EVS_1321,4.5,0.08,11.0
664787,Mask System Aerosol Neb-U-Mask Latex Free Adult,Each,Respiratory Therapy,1.0,0.06,5.0
664794,Atomizer LMA Madgic Laryngo-tracheal Mucosal w/o 3ml Syringe,Each,Level 7 ICU,4.5,0.14,20.0
664823,Nutritional Peptamen Intense VHP Spikeright Unflav 6x1000ml,Each,Level 3 Food Service,1.0,0.12,5.0
664930,Kit Needle Access Diamond End 10G,Each,Level 2 Surgery/Procedures/PACU,1.0,0.0,1.0
664957,Set Administration IV MRI 2qt,Each,Level 1 ED,26.5,0.14,47.0
664957,Set Administration IV MRI 2qt,Each,Level 7 ICU,26.5,0.14,66.0
664969,Set IV Extension MRI,Each,Level 7 ICU,12.5,50.0,50.0
664969,Set IV Extension MRI,Each,Perpetual,12.5,0.0,33.0
665240,Pacemkr Brady Pacing Single Chmbr Azure XT SR Strl LF,Each,Level 2 Surgery/Procedures/PACU,1.0,0.0,1.0
665254,Kit Aerogen Convenience Solo Adult,Each,Respiratory Therapy,1.0,0.02,4.0
665275,Set Extension IV Tubing Caresite Standard Bore 35in,Each,Level 2 Surgery/Procedures/PACU,1.0,2.88,227.0
665275,Set Extension IV Tubing Caresite Standard Bore 35in,Each,Level 2 Surgery/Procedures/PACU,1.0,0.54,102.0
665276,Cover Probe Clean LF 4.25in x 14.5in,Each,Level 1 Imaging,9.0,4.12,414.0
665283,Connector Adaptor Nipple and Nut Respiratory,Each,Respiratory Therapy,1.0,13.32,396.0
665284,Connector Oxygen Tubing Airlife Disposable 5mm to 7mm,Each,Respiratory Therapy,1.0,3.58,152.0
665297,Nutritional Shake Organic Vegan Liquid Smooth Chocolate 11oz,Each,Level 3 Food Service,36.0,1.26,196.0
665297,Nutritional Shake Organic Vegan Liquid Smooth Chocolate 11oz,Each,Level 3 Food Service,36.0,1.06,189.0
665448,Pacemaker Accessory Safety Cable 5833L,Each,Level 2 Surgery/Procedures/PACU,1.34,0.02,7.0
665448,Pacemaker Accessory Safety Cable 5833L,Each,Level 2 Surgery/Procedures/PACU,1.34,0.02,2.0
665686,Pacemaker Lead Brady CapSureFix Novus 407652,Each,Level 2 Surgery/Procedures/PACU,1.0,0.0,1.0
665687,Pacemaker Lead Brady CapSureFix Novus 407658,Each,Level 2 Surgery/Procedures/PACU,1.0,0.0,1.0
665987,Nutritional Beneprotein Powder 75 x 7 g packets,Each,Level 3 Food Service,1.5,2.88,117.0
665987,Nutritional Beneprotein Powder 75 x 7 g packets,Each,Level 3 Food Service,1.5,2.88,66.0
665990,Nutritional Novasource Renal 27x 8oz Brick Pak,Each,Level 3 Food Service,1.0,2.44,71.0
665990,Nutritional Novasource Renal 27x 8oz Brick Pak,Each,Level 3 Food Service,1.0,2.44,50.0
665991,Nutritional Novasource Renal Spikeright 6 x 1000 ml,Each,Level 3 Food Service,5.5,0.72,51.0
665991,Nutritional Novasource Renal Spikeright 6 x 1000 ml,Each,Level 3 Food Service,0.5,0.72,19.0
665991,Nutritional Novasource Renal Spikeright 6 x 1000 ml,Each,Level 3 Food Service,0.5,0.72,9.0
665994,Nutritional Nutren 2.0 UltraPak SpikeRight 6 x 1000 ml,Each,Level 3 Food Service,1.0,0.42,13.0
665994,Nutritional Nutren 2.0 UltraPak SpikeRight 6 x 1000 ml,Each,Level 3 Food Service,1.0,0.42,8.0
666009,Nutritional Boost Breeze Wild Berry 24 x 8 oz Brik Pak,Each,Level 3 Food Service,1.5,0.46,36.0
666009,Nutritional Boost Breeze Wild Berry 24 x 8 oz Brik Pak,Each,Level 3 Food Service,1.5,0.46,7.0
666131,Thermometer Patient Temporal Exergen TAT-5000,Each,Level 7 ICU,33.5,0.0,3.0
666141,Remover Adhesive Detachol 2/3 CC Vial,Each,Level 2 Surgery/Procedures/PACU,1.0,0.4,24.0
666143,Reagent Affirmagen 2 x 10 ml,Each,Level 3 Central Lab,39.0,0.26,47.0
666144,Reagent Surgiscreen 3 x 10 ml,Each,Level 3 Central Lab,39.0,0.1,32.0
666145,Reagent Coombs Control 1 x 10 ml,Each,Level 3 Central Lab,39.0,0.04,11.0
803952,Syringe Tb 1Cc 25Ga X 0.625In Ndl Safty,Each,Level 2 Pharm,1.5,53.0,57.0
667617,Pacemaker Accessory Slitter Adjustable,Each,Level 2 Surgery/Procedures/PACU,1.0,0.0,1.0
668059,Pacemaker Lead Brady Tendril STS 52CM 2088TC/52,Each,Level 2 Surgery/Procedures/PACU,0.5,0.0,1.0
668060,Pacemaker Lead Brady Tendril STS 58CM 2088TC/58,Each,Level 2 Surgery/Procedures/PACU,0.5,0.0,1.0
668202,Filter Vena Cava Celect Platinum Femoral 7.0,Each,Level 1 Imaging,2.0,0.02,2.0
000520,Sol IV NaCl 0.9 250ml,Each,Level 2 Pharm,1.0,30.0,135.0
669366,Test Kit HCG Clinitest 25 Test per Kit,Each,Level 3 Central Lab,3.5,17.3,1083.0
669663,Nutritional Boost Plus Vanilla Tetra Brik 24  x 8 Ounce,Each,Level 3 Food Service,1.0,6.8,147.0
669663,Nutritional Boost Plus Vanilla Tetra Brik 24  x 8 Ounce,Each,Level 3 Food Service,1.0,6.8,95.0
669712,Cap Biopsy Locking Device RX One Size,Each,Level 2 Surgery/Procedures/PACU,2.0,0.24,16.0
669870,Bra Post Surgical Large 36-38Inch C&D,Each,Level 2 Surgery/Procedures/PACU,0.5,0.06,2.0
669871,Bra Post Surgical Med 34-36 Inc B&C,Each,Level 2 Surgery/Procedures/PACU,1.0,0.06,2.0
669872,Bra Post Surgical X Large 38-44Inch C&D,Each,Level 2 Surgery/Procedures/PACU,1.0,0.04,2.0
669921,Probe Thermometer Rectal 9Ft,Each,Level 1 ED,25.0,0.02,5.0
669934,Splint Finger Orthopedic Padded Aluminum 18InchX1Inch,Each,Level 1 ED,13.5,0.04,8.0
669966,Tape Transpore LF 2InchX10YD,Each,Level 1 ED,1.0,0.02,2.0
669966,Tape Transpore LF 2InchX10YD,Each,Level 1 Imaging,1.0,0.04,3.0
669966,Tape Transpore LF 2InchX10YD,Each,Level 2 Surgery/Procedures/PACU,1.0,1.22,11.0
669966,Tape Transpore LF 2InchX10YD,Each,Level 2 Surgery/Procedures/PACU,1.0,0.12,3.0
669966,Tape Transpore LF 2InchX10YD,Each,"Level 5 Observation, Medical Tele & Non-Tele",1.0,0.36,9.0
669966,Tape Transpore LF 2InchX10YD,Each,"Level 6 Telemetry, Cardiac & Stroke",1.0,0.32,10.0
669966,Tape Transpore LF 2InchX10YD,Each,Level 7 ICU,1.0,0.12,3.0
670317,Marker Xray MRI Skin 1.75 cm Radiance 40 per Box,Each,Level 1 Imaging,7.0,0.22,43.0
670349,Balloon Endo Stone Retrieval 320CM,Each,Level 2 Surgery/Procedures/PACU,3.0,0.0,1.0
670925,Syringe Accessory Wound Irrigation Syringe Sheild,Each,Level 1 ED,6.0,2.74,207.0
670925,Syringe Accessory Wound Irrigation Syringe Sheild,Each,Level 1 ED,2.0,2.74,119.0
671765,Patch Cardiovaslucar EKG Monitoring Zio.,Each,"Level 6 Telemetry, Cardiac & Stroke",2.0,0.04,3.0
672207,Control I Stat TriControl Level 1,Each,Level 3 Central Lab,2.0,0.0,1.0
672209,Control I Stat TriControl Level 3,Each,Level 3 Central Lab,3.5,0.0,1.0
672210,Control I Stat Tricontrol Calibration Verification,Each,Level 3 Central Lab,4.0,0.0,1.0
672289,Reagent Sulfolyser 2 x 1.5L,Box,Level 3 Central Lab,5.5,0.02,5.0
672289,Reagent Sulfolyser 2 x 1.5L,Each,Level 3 Central Lab,5.5,0.02,3.0
672290,Reagent Cellpack DCL 20L,Each,Level 3 Central Lab,2.0,0.44,14.0
672291,Reagent Lysercell WNR 2 x 4L,Each,Level 3 Central Lab,3.0,0.06,5.0
672292,Reagent Lysercell WDF 2 x 4L,Each,Level 3 Central Lab,3.0,0.06,5.0
672293,Reagent Fluorocell WNR 2 x 82ML,Each,Level 3 Central Lab,3.34,0.04,5.0
672294,Reagent Fluorocell WDF 2 x 42ML,Box,Level 3 Central Lab,7.76,0.04,6.0
672294,Reagent Fluorocell WDF 2 x 42ML,Each,Level 3 Central Lab,7.76,0.04,6.0
672295,Reagent Cellpack DFL 20 x 1.5L,Box,Level 3 Central Lab,19.26,0.04,9.0
672295,Reagent Cellpack DFL 20 x 1.5L,Each,Level 3 Central Lab,19.26,0.04,7.0
672296,Reagent Fluorocell RET 2 x 12ML,Each,Level 3 Central Lab,2.34,0.08,5.0
672297,Reagent Fluorocell PLT 2 x 12ML,Box,Level 3 Central Lab,2.66,0.08,5.0
672298,Reagent Cellclean Auto 20 x 4ML Vial,Box,Level 3 Central Lab,4.34,0.2,15.0
672299,Control Check XN Tripack 4 x 4.5ML x 3 level,Pack,Level 3 Central Lab,5.0,0.06,5.0
672299,Control Check XN Tripack 4 x 4.5ML x 3 level,Each,Level 3 Central Lab,5.0,0.06,3.0
672300,Control Check XN Body Fluids 3 x 4.5ML x 2 level,Each,Level 3 Central Lab,2.5,0.04,2.0
672579,"Monitor, Cardiac, Reveal LINQ ICM Sytstem",Each,"Level 6 Telemetry, Cardiac & Stroke",4.0,0.0,1.0
672738,Control Liquichek Spinal Fluid Level 2 6 x 3 ml,Each,Level 3 Central Lab,12.0,0.04,9.0
672752,Control Liquid Assayed Multiqual Level 1 12 x 3 ml,Each,Level 3 Central Lab,14.5,0.04,6.0
672753,Control Liquid Assayed Multiqual Level 2 12 x 3 ml,Each,Level 3 Central Lab,2.0,0.04,3.0
672754,Control Liquid Assayed Multiqual Level 3 12 x 3 ml,Each,Level 3 Central Lab,14.5,0.04,6.0
672755,Control Liquichek Spinal Fluid Level 1 6 x 3 ml,Each,Level 3 Central Lab,12.0,0.04,9.0
672791,Tray Chest Tube 14Fr Thal,Each,Level 7 ICU,24.0,0.0,3.0
672804,Eltrd Neuro Surface Gold 10MM,Each,Level 1 Imaging,6.0,0.08,14.0
672832,Drug Rhophylac 10 x 2 300 mcg,Each,Level 3 Central Lab,87.26,0.12,45.0
673041,Control Liquicheck Immunoassay Plus Level 1 12 x 5 ml,Each,Level 3 Central Lab,4.0,0.04,3.0
673042,Control Liquicheck Immunoassay Plus Level 3 12 x 5 ml,Each,Level 3 Central Lab,4.0,0.02,2.0
673181,Plug Ear 33 DB w/o Cord Universal Fit Pk/200,Each,Level 1 Imaging,2.0,3.3,239.0
673185,Plug Ear 33 DB w/o Cord Universal Fit Pk/200,Each,Level 1 Imaging,1.0,1.1,91.0
673478,Holder Wallmount Glove Box Triple Standard,Each,"Level 6 Telemetry, Cardiac & Stroke",2.0,0.02,2.0
673683,Slide Frosted White 75mm x 25mm MS-101W 100 each,Box,Level 3 Central Lab,4.34,0.1,16.0
673739,Needle Spinal Gertie Marx W/Intro L5IN OD22GA,Each,Level 1 ED,3.0,0.02,4.0
673797,Beverage Breeza Flavored Abdominal and Pelvic 24 per Case,Each,Level 1 Imaging,6.5,0.06,12.0
673799,Chemical Formalin 16 ounce Jar 250 ml 16 per Case,Each,Level 3 Central Lab,18.0,0.22,62.0
674302,Wheelchair Standard  300 LB Capacity Wide 18Inch,Each,Level 1 ED,1.5,0.0,1.0
674302,Wheelchair Standard  300 LB Capacity Wide 18Inch,Each,Level 3 Admin,1.5,0.0,2.0
674592,Control Immunology Liquichek Level 3 6 x 1 ml,Each,Level 3 Central Lab,3.0,0.1,8.0
674636,Control Specialty Immunoassay Lyphochek Level 1 6 x 2 ml,Each,Level 3 Central Lab,3.0,0.06,7.0
674637,Control Specialty Immunoassay Lyphochek Level 3 6 x 2 ml,Each,Level 3 Central Lab,3.0,0.06,6.0
674642,"Control Urine Chemistry Liquichek, Level 1 12 x 10 ml",Each,Level 3 Central Lab,8.0,0.0,3.0
674643,Control Urine Chemistry Liquichek Level 2 12 x 10 ml,Each,Level 3 Central Lab,8.0,0.0,3.0
674644,Control Immunology Liquichek Level 1 6 x 1 ml,Each,Level 3 Central Lab,3.0,0.1,8.0
674763,Control Alba Q Chek 4 x 6ml,Each,Level 3 Central Lab,140.5,0.18,128.0
674797,Oil Immersion High Viscosity 500 ml,Box,Level 3 Central Lab,14.66,0.02,4.0
675110,Solution 7 percent BSA 12 per box,Each,Level 3 Central Lab,4.5,1.72,206.0
675310,Calibrator Multi- Hep STA 4 x 1 ml 20 per pack,Each,Level 3 Central Lab,7.0,0.0,1.0
675311,Control Quality HNF/UFH STA 6 x 1 ml 12 per pack,Each,Level 3 Central Lab,5.0,0.06,9.0
675321,Tray OV Dilution Single Use 1 each,Each,Level 3 Central Lab,3.5,0.0,1.0
675337,Antibody Enhance Solution 15 x 10 ml 15 per pack,Each,Level 3 Central Lab,3.0,0.04,5.0
675342,Control Immunoassay Plus Level 2 Liquichek 12 x 5 ml,Each,Level 3 Central Lab,2.0,0.02,2.0
675380,Water Reagent Grade 6 x 32 oz 6 per case,Each,Level 3 Central Lab,1.5,0.06,7.0
676206,Syringe Kit MRI Disposable Inj MRXperion Strl LF 65ml x 115m,Each,Level 1 Imaging,6.5,0.16,21.0
676229,Tube Glass Borosilicate Plain End Latex Free 1000 per Case,Each,Level 3 Central Lab,1.5,90.66,2714.0
676230,Kit Pure Prep II High Yield Latex Free 60 ml,Each,Level 2 Surgery/Procedures/PACU,56.0,0.0,4.0
676230,Kit Pure Prep II High Yield Latex Free 60 ml,Each,Level 2 Surgery/Procedures/PACU,56.0,0.0,2.0
677285,Drape Min Proc Aprtr Steri Drape Strl 22.5x25in,Each,Level 1 Imaging,0.5,0.06,5.0
677287,Strip Steri Skin Closure Reinf Adhesive Sterile 0.125 x 3in,Each,Perpetual,1.0,0.0,15.0
677293,Pin Safety Nickel Plated,Each,"Level 5 Observation, Medical Tele & Non-Tele",1.0,0.02,1.0
677293,Pin Safety Nickel Plated,Each,"Level 6 Telemetry, Cardiac & Stroke",1.0,0.02,1.0
677293,Pin Safety Nickel Plated,Each,Level 7 ICU,1.0,0.0,1.0
677299,Splint Wrist Forearm Lft Univ,Each,Level 1 ED,1.0,0.2,4.0
677300,Cath Coude Tip 16Fr 5Cc,Each,Level 1 ED,1.0,2.0,4.0
677300,Cath Coude Tip 16Fr 5Cc,Each,Level 2 Surgery/Procedures/PACU,1.0,6.0,6.0
677300,Cath Coude Tip 16Fr 5Cc,Each,Perpetual,1.0,0.0,2.0
677301,Cath Coude Tip 14Fr 5Cc,Each,Level 1 ED,1.0,0.12,6.0
677301,Cath Coude Tip 14Fr 5Cc,Each,Level 2 Surgery/Procedures/PACU,1.0,0.02,2.0
677301,Cath Coude Tip 14Fr 5Cc,Each,"Level 5 Observation, Medical Tele & Non-Tele",1.0,0.0,1.0
677302,Set Iv Ext 0.22 Micron Filter,Each,Level 1 ED,1.0,4.0,4.0
695848,Stand Mirror Oval 5 x 4in,Each,Level 2 Pharm,5.5,0.0,1.0
677302,Set Iv Ext 0.22 Micron Filter,Each,"Level 5 Observation, Medical Tele & Non-Tele",1.0,3.0,3.0
677302,Set Iv Ext 0.22 Micron Filter,Each,"Level 6 Telemetry, Cardiac & Stroke",1.0,2.0,2.0
677302,Set Iv Ext 0.22 Micron Filter,Each,Perpetual,1.0,0.0,5.0
677483,Pacemkr Acc Cath Lead Del Sys SelectSite  Strl LF,Each,Level 2 Surgery/Procedures/PACU,1.0,0.0,1.0
677509,Pacemkr Brady Pacing Dual Chmbr Azure XT DR Strl LF,Each,Level 2 Surgery/Procedures/PACU,1.0,0.0,1.0
677509,Pacemkr Brady Pacing Dual Chmbr Azure XT DR Strl LF,Each,Level 2 Surgery/Procedures/PACU,1.0,0.02,1.0
677551,Kit Cleanstart Bedside For Endoscope LF 500ml,Each,Level 2 Surgery/Procedures/PACU,1.0,2.18,56.0
677551,Kit Cleanstart Bedside For Endoscope LF 500ml,Each,Level 2 Surgery/Procedures/PACU,1.0,0.06,13.0
677577,Cup Kraft Ripple Hot 8 oz R8PC-k,Each,Level 3 Food Service,2.5,129.12,1884.0
677577,Cup Kraft Ripple Hot 8 oz R8PC-k,Each,"Level 6 Telemetry, Cardiac & Stroke",2.5,1.38,145.0
677578,Lid Traveler Plastic Black,Each,Level 3 Food Service,114.0,5.5,3891.0
677580,Fork Plastic Black Heavy Weight Wrapped Unbreakable,Each,Level 3 Food Service,2.0,52.2,2163.0
677580,Fork Plastic Black Heavy Weight Wrapped Unbreakable,Each,"Level 6 Telemetry, Cardiac & Stroke",2.0,2.74,258.0
677581,Knife Plastic Black Heavy Weight Wrapped Unbreakable,Each,Level 3 Food Service,1.0,27.48,1265.0
677605,Reagent Iwash Latex Free 4 per pack,Each,Level 3 Central Lab,7.5,0.1,15.0
677606,Reagent Seditrol Latex Free 6x4.5ml,Each,Level 3 Central Lab,8.0,0.02,3.0
677623,Kit Catheter Central Venous Multi lumen LF 7fr x  16cm,Each,Level 1 Imaging,1.0,3.0,3.0
677623,Kit Catheter Central Venous Multi lumen LF 7fr x  16cm,Each,Level 7 ICU,1.0,4.0,4.0
677623,Kit Catheter Central Venous Multi lumen LF 7fr x  16cm,Each,Perpetual,1.0,0.0,8.0
677625,Catheter Trialysis Triple Lumen LF 13fr x 30cm,Each,Level 1 Imaging,11.0,0.02,4.0
677653,Control Ethanol Ammonia Latex Free Liquichek Level 1 6 x 3ml,Each,Level 3 Central Lab,10.5,0.06,16.0
677654,Control Ethanol Ammonia Latex Free Liquichek Level 3 6 x 3ml,Each,Level 3 Central Lab,9.5,0.06,16.0
677656,Control Troponin Latex Free Level 1 1 each,Each,Level 3 Central Lab,3.0,0.0,1.0
677657,Control Troponin Latex Free Level 3 1 each,Each,Level 3 Central Lab,3.0,0.0,1.0
677658,Control Troponin Calibration Verification Latex Free 1 each,Each,Level 3 Central Lab,2.0,0.0,1.0
677659,Cartridge Troponin APOC Latex Free 25 each,Each,Level 3 Central Lab,47.0,5.28,1780.0
677661,Reagent Anti A Albaclone Latex Free 10 per pack,Each,Level 3 Central Lab,9.0,0.0,1.0
677662,Reagent Anti B Albaclone Latex Free 10 per pack,Each,Level 3 Central Lab,9.0,0.0,1.0
677663,Reagent Anti D Albaclone Blend Latex Free 10 per pack,Each,Level 3 Central Lab,2.0,0.0,1.0
677665,Reagent Red Blood Cells C3 Coated Latex Free 1 x 3 ml,Each,Level 3 Central Lab,9.0,0.04,3.0
677668,Reagent Red Blood Screening Cells Latex Free 3 x 10 ml,Each,Level 3 Central Lab,11.0,0.02,3.0
677669,Reagent Red Blood IgG Sensitized Cells Latex Free 4 x 10 ml,Each,Level 3 Central Lab,11.0,0.02,3.0
677670,Cytofunnel EZ with White Filter Cards and Caps 40 per case,Each,Level 3 Central Lab,1.0,1.1,146.0
677671,Cytofunnel White Cards and Caps Latex Free EZ Single,Each,Level 3 Central Lab,1.0,2.74,227.0
677673,Cassette Tissue Path IV Latex Free White 1000 per case,Each,Level 3 Central Lab,1.0,5.5,637.0
677685,Tube Centrifuge Latex Free Kova Economy 500 per pack,Each,Level 3 Central Lab,2.0,24.72,1875.0
